name,n_taxa,n_trees,n_reticulations,msa_size,sites_per_tree,sampling_type,simulation_type,celine_params,brlen_scaler,seqgen_params,near_zero_branches_raxml,n_equal_tree_pairs,true_network_weirdness,true_network_path,fixed_reticulation_prob,inferred_network_path,likelihood_type,brlen_linkage_type,start_type,timeout,n_random_start_networks,n_parsimony_start_networks,runtime_inference,use_partitioned_msa,n_reticulations_inferred,bic_true,logl_true,bic_inferred,logl_inferred,bic_raxml,logl_raxml,rf_absolute_raxml,rf_relative_raxml,rf_absolute_inferred,rf_relative_inferred,msa_patterns,unrooted_softwired_network_distance,unrooted_hardwired_network_distance,unrooted_displayed_trees_distance,rooted_softwired_network_distance,rooted_hardwired_network_distance,rooted_displayed_trees_distance,rooted_tripartition_distance,rooted_path_multiplicity_distance,rooted_nested_labels_distance
/home/luttersh/NetRAX/experiments/data/datasets_t_10_r_1_standard_0/0_0,10,2,1,2000,1000,PERFECT_SAMPLING,CELINE,{'to': 0.18523768091822013| 'lambda': 15.805981977484297| 'nu': 0.047417945932452896| 'no_of_leaves': 10| 'no_of_hybrids': 1| 'ratio': 0.1| 'min_reticulation_prob': 0.1| 'max_reticulation_prob': 0.9},1.0,-mHKY -t3.0 -f0.3|0.2|0.2|0.3,0,1,1.0,/home/luttersh/NetRAX/experiments/data/datasets_t_10_r_1_standard_0/0_0_true_network.nw,0.5,/home/luttersh/NetRAX/experiments/data/datasets_t_10_r_1_standard_0/0_0_BEST_LINKED_FROM_RAXML_inferred_network.nw,BEST,LINKED,FROM_RAXML,0,0,0,0.92,True,0.0,20229.84028,-9916.850387999999,20229.35049,-9936.412467,20229.35049,-9936.412468999999,-1,-1,-1,-1,598,0.25,0.25,1.0,0.4545454545,0.4545454545,1.0,0.5833333333,0.3043478261,0.6153846154
/home/luttersh/NetRAX/experiments/data/datasets_t_10_r_1_standard_0/0_0,10,2,1,2000,1000,PERFECT_SAMPLING,CELINE,{'to': 0.18523768091822013| 'lambda': 15.805981977484297| 'nu': 0.047417945932452896| 'no_of_leaves': 10| 'no_of_hybrids': 1| 'ratio': 0.1| 'min_reticulation_prob': 0.1| 'max_reticulation_prob': 0.9},1.0,-mHKY -t3.0 -f0.3|0.2|0.2|0.3,0,1,1.0,/home/luttersh/NetRAX/experiments/data/datasets_t_10_r_1_standard_0/0_0_true_network.nw,0.5,/home/luttersh/NetRAX/experiments/data/datasets_t_10_r_1_standard_0/0_0_AVERAGE_LINKED_FROM_RAXML_inferred_network.nw,AVERAGE,LINKED,FROM_RAXML,0,0,0,1.288,True,0.0,20229.84028,-9916.850387999999,20229.35049,-9936.412467,20229.35049,-9936.412468999999,-1,-1,-1,-1,598,0.25,0.25,1.0,0.4545454545,0.4545454545,1.0,0.5833333333,0.3043478261,0.6153846154
/home/luttersh/NetRAX/experiments/data/datasets_t_10_r_2_standard_0/0_0,10,4,2,4000,1000,PERFECT_SAMPLING,CELINE,{'to': 0.23341097372320285| 'lambda': 13.819416889188396| 'nu': 0.04145825066756519| 'no_of_leaves': 10| 'no_of_hybrids': 2| 'ratio': 0.2| 'min_reticulation_prob': 0.1| 'max_reticulation_prob': 0.9},1.0,-mHKY -t3.0 -f0.3|0.2|0.2|0.3,0,2,0.3333333333333333,/home/luttersh/NetRAX/experiments/data/datasets_t_10_r_2_standard_0/0_0_true_network.nw,0.5,/home/luttersh/NetRAX/experiments/data/datasets_t_10_r_2_standard_0/0_0_BEST_LINKED_FROM_RAXML_inferred_network.nw,BEST,LINKED,FROM_RAXML,0,0,0,14.664000000000001,True,2.0,36607.31807,-17975.16336,36641.1628,-17992.08572,37115.52583999999,-18271.65378,-1,-1,-1,-1,978,0.1,0.2222222222,1.0,0.5714285714,0.5833333333,0.6666666667,0.6428571429,0.3846153846,0.5882352941
/home/luttersh/NetRAX/experiments/data/datasets_t_10_r_2_standard_0/0_0,10,4,2,4000,1000,PERFECT_SAMPLING,CELINE,{'to': 0.23341097372320285| 'lambda': 13.819416889188396| 'nu': 0.04145825066756519| 'no_of_leaves': 10| 'no_of_hybrids': 2| 'ratio': 0.2| 'min_reticulation_prob': 0.1| 'max_reticulation_prob': 0.9},1.0,-mHKY -t3.0 -f0.3|0.2|0.2|0.3,0,2,0.3333333333333333,/home/luttersh/NetRAX/experiments/data/datasets_t_10_r_2_standard_0/0_0_true_network.nw,0.5,/home/luttersh/NetRAX/experiments/data/datasets_t_10_r_2_standard_0/0_0_AVERAGE_LINKED_FROM_RAXML_inferred_network.nw,AVERAGE,LINKED,FROM_RAXML,0,0,0,21.929000000000002,True,2.0,36607.31807,-17975.16336,36641.1628,-17992.08572,37115.52583999999,-18271.65378,-1,-1,-1,-1,978,0.1,0.2222222222,1.0,0.5714285714,0.5833333333,0.6666666667,0.6428571429,0.3846153846,0.5882352941
/home/luttersh/NetRAX/experiments/data/datasets_t_10_r_3_standard_0/0_0,10,8,3,8000,1000,PERFECT_SAMPLING,CELINE,{'to': 0.2541118525298765| 'lambda': 8.888940416987106| 'nu': 0.026666821250961318| 'no_of_leaves': 10| 'no_of_hybrids': 3| 'ratio': 0.3| 'min_reticulation_prob': 0.1| 'max_reticulation_prob': 0.9},1.0,-mHKY -t3.0 -f0.3|0.2|0.2|0.3,0,6,0.21428571428571427,/home/luttersh/NetRAX/experiments/data/datasets_t_10_r_3_standard_0/0_0_true_network.nw,0.5,/home/luttersh/NetRAX/experiments/data/datasets_t_10_r_3_standard_0/0_0_BEST_LINKED_FROM_RAXML_inferred_network.nw,BEST,LINKED,FROM_RAXML,0,0,0,65.509,True,2.0,84606.83413999999,-41727.63819,84608.07403999999,-41750.8377,86900.70727,-42942.31345,-1,-1,-1,-1,2561,0.0,0.2727272727,0.8,0.5,0.2727272727,1.0,0.2727272727,0.28,0.4705882353
/home/luttersh/NetRAX/experiments/data/datasets_t_10_r_3_standard_0/0_0,10,8,3,8000,1000,PERFECT_SAMPLING,CELINE,{'to': 0.2541118525298765| 'lambda': 8.888940416987106| 'nu': 0.026666821250961318| 'no_of_leaves': 10| 'no_of_hybrids': 3| 'ratio': 0.3| 'min_reticulation_prob': 0.1| 'max_reticulation_prob': 0.9},1.0,-mHKY -t3.0 -f0.3|0.2|0.2|0.3,0,6,0.21428571428571427,/home/luttersh/NetRAX/experiments/data/datasets_t_10_r_3_standard_0/0_0_true_network.nw,0.5,/home/luttersh/NetRAX/experiments/data/datasets_t_10_r_3_standard_0/0_0_AVERAGE_LINKED_FROM_RAXML_inferred_network.nw,AVERAGE,LINKED,FROM_RAXML,0,0,0,73.186,True,2.0,84600.59289,-41724.517569999996,84563.3417,-41728.47153,86900.70727,-42942.31345,-1,-1,-1,-1,2561,0.0,0.2727272727,0.8,0.5,0.2727272727,1.0,0.2727272727,0.28,0.4705882353
/home/luttersh/NetRAX/experiments/data/datasets_t_10_r_4_standard_0/0_0,10,16,4,16000,1000,PERFECT_SAMPLING,CELINE,{'to': 0.3060556884778136| 'lambda': 12.933841628298406| 'nu': 0.03880152488489522| 'no_of_leaves': 10| 'no_of_hybrids': 4| 'ratio': 0.4| 'min_reticulation_prob': 0.1| 'max_reticulation_prob': 0.9},1.0,-mHKY -t3.0 -f0.3|0.2|0.2|0.3,0,18,0.15,/home/luttersh/NetRAX/experiments/data/datasets_t_10_r_4_standard_0/0_0_true_network.nw,0.5,/home/luttersh/NetRAX/experiments/data/datasets_t_10_r_4_standard_0/0_0_BEST_LINKED_FROM_RAXML_inferred_network.nw,BEST,LINKED,FROM_RAXML,0,0,0,506.608,True,3.0,179210.89399999997,-88538.96631,179215.0945,-88565.03242,187705.3527,-92882.0591,-1,-1,-1,-1,5593,0.0625,0.3636363636,1.0,0.6896551724,0.6153846154,1.0,0.6666666667,0.5,0.75
/home/luttersh/NetRAX/experiments/data/datasets_t_10_r_4_standard_0/0_0,10,16,4,16000,1000,PERFECT_SAMPLING,CELINE,{'to': 0.3060556884778136| 'lambda': 12.933841628298406| 'nu': 0.03880152488489522| 'no_of_leaves': 10| 'no_of_hybrids': 4| 'ratio': 0.4| 'min_reticulation_prob': 0.1| 'max_reticulation_prob': 0.9},1.0,-mHKY -t3.0 -f0.3|0.2|0.2|0.3,0,18,0.15,/home/luttersh/NetRAX/experiments/data/datasets_t_10_r_4_standard_0/0_0_true_network.nw,0.5,/home/luttersh/NetRAX/experiments/data/datasets_t_10_r_4_standard_0/0_0_AVERAGE_LINKED_FROM_RAXML_inferred_network.nw,AVERAGE,LINKED,FROM_RAXML,0,0,0,578.221,True,3.0,179203.6193,-88535.32897,179182.9376,-88548.95397999998,187705.3527,-92882.0591,-1,-1,-1,-1,5593,0.0625,0.3636363636,1.0,0.6896551724,0.6153846154,1.0,0.6666666667,0.5,0.75
/home/luttersh/NetRAX/experiments/data/datasets_t_15_r_1_standard_0/0_0,15,2,1,2000,1000,PERFECT_SAMPLING,CELINE,{'to': 0.1853520188042444| 'lambda': 17.9647206153297| 'nu': 0.0538941618459891| 'no_of_leaves': 15| 'no_of_hybrids': 1| 'ratio': 0.06666666666666667| 'min_reticulation_prob': 0.1| 'max_reticulation_prob': 0.9},1.0,-mHKY -t3.0 -f0.3|0.2|0.2|0.3,1,0,0.0,/home/luttersh/NetRAX/experiments/data/datasets_t_15_r_1_standard_0/0_0_true_network.nw,0.5,/home/luttersh/NetRAX/experiments/data/datasets_t_15_r_1_standard_0/0_0_BEST_LINKED_FROM_RAXML_inferred_network.nw,BEST,LINKED,FROM_RAXML,0,0,0,11.764000000000001,True,1.0,26459.5968,-12972.07458,26459.6696,-12972.11098,26593.690469999998,-13059.73932,-1,-1,-1,-1,910,0.0,0.07142857143,1.0,0.2631578947,0.25,1.0,0.25,0.125,0.3333333333
/home/luttersh/NetRAX/experiments/data/datasets_t_15_r_1_standard_0/0_0,15,2,1,2000,1000,PERFECT_SAMPLING,CELINE,{'to': 0.1853520188042444| 'lambda': 17.9647206153297| 'nu': 0.0538941618459891| 'no_of_leaves': 15| 'no_of_hybrids': 1| 'ratio': 0.06666666666666667| 'min_reticulation_prob': 0.1| 'max_reticulation_prob': 0.9},1.0,-mHKY -t3.0 -f0.3|0.2|0.2|0.3,1,0,0.0,/home/luttersh/NetRAX/experiments/data/datasets_t_15_r_1_standard_0/0_0_true_network.nw,0.5,/home/luttersh/NetRAX/experiments/data/datasets_t_15_r_1_standard_0/0_0_AVERAGE_LINKED_FROM_RAXML_inferred_network.nw,AVERAGE,LINKED,FROM_RAXML,0,0,0,15.077,True,1.0,26459.5968,-12972.07458,26459.6696,-12972.11098,26593.690469999998,-13059.73932,-1,-1,-1,-1,910,0.0,0.07142857143,1.0,0.2631578947,0.25,1.0,0.25,0.125,0.3333333333
/home/luttersh/NetRAX/experiments/data/datasets_t_15_r_2_standard_0/0_0,15,4,2,4000,1000,PERFECT_SAMPLING,CELINE,{'to': 0.3031023936722147| 'lambda': 14.25544334083093| 'nu': 0.04276633002249279| 'no_of_leaves': 15| 'no_of_hybrids': 2| 'ratio': 0.13333333333333333| 'min_reticulation_prob': 0.1| 'max_reticulation_prob': 0.9},1.0,-mHKY -t3.0 -f0.3|0.2|0.2|0.3,0,0,0.0,/home/luttersh/NetRAX/experiments/data/datasets_t_15_r_2_standard_0/0_0_true_network.nw,0.5,/home/luttersh/NetRAX/experiments/data/datasets_t_15_r_2_standard_0/0_0_BEST_LINKED_FROM_RAXML_inferred_network.nw,BEST,LINKED,FROM_RAXML,0,0,0,44.978,True,2.0,60777.07315,-29992.46098,60775.86562999999,-29991.857219999998,61493.40021,-30394.632910000004,-1,-1,-1,-1,2248,0.0,0.2,1.0,0.4761904762,0.3125,1.0,0.3529411765,0.2285714286,0.4545454545
