name,n_taxa,n_trees,n_reticulations,msa_size,sites_per_tree,sampling_type,simulation_type,celine_params,brlen_scaler,seqgen_params,near_zero_branches_raxml,n_equal_tree_pairs,true_network_weirdness,true_network_path,fixed_reticulation_prob,runtime_raxml,inferred_network_path,likelihood_type,brlen_linkage_type,start_type,timeout,n_random_start_networks,n_parsimony_start_networks,runtime_inference,use_partitioned_msa,n_reticulations_inferred,bic_true,logl_true,aic_true,aicc_true,bic_inferred,logl_inferred,aic_inferred,aicc_inferred,bic_raxml,logl_raxml,aic_raxml,aicc_raxml,rf_absolute_raxml,rf_relative_raxml,rf_absolute_inferred,rf_relative_inferred,msa_patterns,unrooted_softwired_network_distance,unrooted_hardwired_network_distance,unrooted_displayed_trees_distance,rooted_softwired_network_distance,rooted_hardwired_network_distance,rooted_displayed_trees_distance,rooted_tripartition_distance,rooted_path_multiplicity_distance,rooted_nested_labels_distance
/home/sarah/eclipse-workspace/NetRAX/experiments/data/datasets_C_20_2_run_0_0/0_0,20,4,2,4000,1000,PERFECT_SAMPLING,CELINE,{'to': 0.17245343798462082| 'lambda': 22.50430886640157| 'nu': 0.06751292659920471| 'no_of_leaves': 20| 'no_of_hybrids': 2| 'ratio': 0.1| 'min_reticulation_prob': 0.1| 'max_reticulation_prob': 0.9},1.0,-mHKY -t3.0 -f0.3|0.2|0.2|0.3,0,0,0.0,/home/sarah/eclipse-workspace/NetRAX/experiments/data/datasets_C_20_2_run_0_0/0_0_true_network.nw,0.5,28.141,/home/sarah/eclipse-workspace/NetRAX/experiments/data/datasets_C_20_2_run_0_0/0_0_AVERAGE_LINKED_FROM_RAXMLinferred_network.nw,AVERAGE,LINKED,FROM_RAXML,0,0,0,52.067,True,2.0,45799.828910000004,-22437.0334,45038.06679,45038.23712,45816.83259,-22445.53524,45055.07047,45055.2408,48921.54717,-24043.05166,48234.10331000001,48234.24219,-1,-1,-1,-1,1459,0.0,0.1428571429,1.0,0.4358974359,0.3333333333,1.0,0.3333333333,0.1777777778,0.4285714286
/home/sarah/eclipse-workspace/NetRAX/experiments/data/datasets_C_20_2_run_0_0/0_0,20,4,2,4000,1000,PERFECT_SAMPLING,CELINE,{'to': 0.17245343798462082| 'lambda': 22.50430886640157| 'nu': 0.06751292659920471| 'no_of_leaves': 20| 'no_of_hybrids': 2| 'ratio': 0.1| 'min_reticulation_prob': 0.1| 'max_reticulation_prob': 0.9},1.0,-mHKY -t3.0 -f0.3|0.2|0.2|0.3,0,0,0.0,/home/sarah/eclipse-workspace/NetRAX/experiments/data/datasets_C_20_2_run_0_0/0_0_true_network.nw,0.5,28.141,/home/sarah/eclipse-workspace/NetRAX/experiments/data/datasets_C_20_2_run_0_0/0_0_AVERAGE_LINKED_FROM_RAXMLunpartitioned_inferred_network.nw,AVERAGE,LINKED,FROM_RAXML,0,0,0,1.909,False,0.0,45799.828910000004,-22437.0334,45038.06679,45038.23712,48921.54711,-24043.05162,48234.10325,48234.24213,48921.54717,-24043.05166,48234.10331000001,48234.24219,-1,-1,-1,-1,1459,0.3928571429,0.3913043478,1.0,0.6111111111,0.5925925926,1.0,0.6428571429,0.3673469388,0.7096774194
/home/sarah/eclipse-workspace/NetRAX/experiments/data/datasets_C_20_2_run_10_0/0_0,20,4,2,4000,1000,PERFECT_SAMPLING,CELINE,{'to': 0.15434518600074174| 'lambda': 18.159539949065| 'nu': 0.054478619847195| 'no_of_leaves': 20| 'no_of_hybrids': 2| 'ratio': 0.1| 'min_reticulation_prob': 0.1| 'max_reticulation_prob': 0.9},1.0,-mHKY -t3.0 -f0.3|0.2|0.2|0.3,0,0,0.0,/home/sarah/eclipse-workspace/NetRAX/experiments/data/datasets_C_20_2_run_10_0/0_0_true_network.nw,0.5,36.078,/home/sarah/eclipse-workspace/NetRAX/experiments/data/datasets_C_20_2_run_10_0/0_0_AVERAGE_LINKED_FROM_RAXMLinferred_network.nw,AVERAGE,LINKED,FROM_RAXML,0,0,0,18.125,True,1.0,59994.62982,-29534.43385,59232.8677,59233.038029999996,60012.4637,-29565.93035,59287.86071,59288.01491000001,60685.24161000001,-29924.89888,59997.79775,59997.93663,-1,-1,-1,-1,2135,0.2173913043,0.2,1.0,0.4285714286,0.4166666667,1.0,0.5,0.3125,0.7272727273
/home/sarah/eclipse-workspace/NetRAX/experiments/data/datasets_C_20_2_run_10_0/0_0,20,4,2,4000,1000,PERFECT_SAMPLING,CELINE,{'to': 0.15434518600074174| 'lambda': 18.159539949065| 'nu': 0.054478619847195| 'no_of_leaves': 20| 'no_of_hybrids': 2| 'ratio': 0.1| 'min_reticulation_prob': 0.1| 'max_reticulation_prob': 0.9},1.0,-mHKY -t3.0 -f0.3|0.2|0.2|0.3,0,0,0.0,/home/sarah/eclipse-workspace/NetRAX/experiments/data/datasets_C_20_2_run_10_0/0_0_true_network.nw,0.5,36.078,/home/sarah/eclipse-workspace/NetRAX/experiments/data/datasets_C_20_2_run_10_0/0_0_AVERAGE_LINKED_FROM_RAXMLunpartitioned_inferred_network.nw,AVERAGE,LINKED,FROM_RAXML,0,0,0,2.497,False,0.0,59994.62982,-29534.43385,59232.8677,59233.038029999996,60685.24163,-29924.898889999997,59997.79777000001,59997.93665,60685.24161000001,-29924.89888,59997.79775,59997.93663,-1,-1,-1,-1,2135,0.2380952381,0.25,1.0,0.4615384615,0.52,1.0,0.6428571429,0.3673469388,0.8235294118
/home/sarah/eclipse-workspace/NetRAX/experiments/data/datasets_C_20_2_run_11_0/0_0,20,4,2,4000,1000,PERFECT_SAMPLING,CELINE,{'to': 0.1336924028378706| 'lambda': 22.108166514174677| 'nu': 0.06632449954252403| 'no_of_leaves': 20| 'no_of_hybrids': 2| 'ratio': 0.1| 'min_reticulation_prob': 0.1| 'max_reticulation_prob': 0.9},1.0,-mHKY -t3.0 -f0.3|0.2|0.2|0.3,0,0,0.0,/home/sarah/eclipse-workspace/NetRAX/experiments/data/datasets_C_20_2_run_11_0/0_0_true_network.nw,0.5,28.014,/home/sarah/eclipse-workspace/NetRAX/experiments/data/datasets_C_20_2_run_11_0/0_0_AVERAGE_LINKED_FROM_RAXMLinferred_network.nw,AVERAGE,LINKED,FROM_RAXML,0,0,0,42.22,True,2.0,41765.66335,-20419.95062,41003.90124,41004.071560000004,41768.61152,-20421.4247,41006.8494,41007.01973,42511.144089999994,-20837.85012,41823.70023,41823.83911,-1,-1,-1,-1,1284,0.1666666667,0.1904761905,1.0,0.5161290323,0.4615384615,1.0,0.4615384615,0.2553191489,0.4827586207
/home/sarah/eclipse-workspace/NetRAX/experiments/data/datasets_C_20_2_run_11_0/0_0,20,4,2,4000,1000,PERFECT_SAMPLING,CELINE,{'to': 0.1336924028378706| 'lambda': 22.108166514174677| 'nu': 0.06632449954252403| 'no_of_leaves': 20| 'no_of_hybrids': 2| 'ratio': 0.1| 'min_reticulation_prob': 0.1| 'max_reticulation_prob': 0.9},1.0,-mHKY -t3.0 -f0.3|0.2|0.2|0.3,0,0,0.0,/home/sarah/eclipse-workspace/NetRAX/experiments/data/datasets_C_20_2_run_11_0/0_0_true_network.nw,0.5,28.014,/home/sarah/eclipse-workspace/NetRAX/experiments/data/datasets_C_20_2_run_11_0/0_0_AVERAGE_LINKED_FROM_RAXMLunpartitioned_inferred_network.nw,AVERAGE,LINKED,FROM_RAXML,0,0,0,1.91,False,0.0,41765.66335,-20419.95062,41003.90124,41004.071560000004,42511.144089999994,-20837.85011,41823.70023,41823.83911,42511.144089999994,-20837.85012,41823.70023,41823.83911,-1,-1,-1,-1,1284,0.2272727273,0.3636363636,1.0,0.5862068966,0.5925925926,1.0,0.6896551724,0.4,0.75
/home/sarah/eclipse-workspace/NetRAX/experiments/data/datasets_C_20_2_run_12_0/0_0,20,4,2,4000,1000,PERFECT_SAMPLING,CELINE,{'to': 0.4377401954086667| 'lambda': 6.163010178756481| 'nu': 0.018489030536269442| 'no_of_leaves': 20| 'no_of_hybrids': 2| 'ratio': 0.1| 'min_reticulation_prob': 0.1| 'max_reticulation_prob': 0.9},1.0,-mHKY -t3.0 -f0.3|0.2|0.2|0.3,0,0,0.0,/home/sarah/eclipse-workspace/NetRAX/experiments/data/datasets_C_20_2_run_12_0/0_0_true_network.nw,0.5,86.83,/home/sarah/eclipse-workspace/NetRAX/experiments/data/datasets_C_20_2_run_12_0/0_0_AVERAGE_LINKED_FROM_RAXMLinferred_network.nw,AVERAGE,LINKED,FROM_RAXML,0,0,0,115.211,True,2.0,106574.0253,-52824.13159,105812.2632,105812.4335,106640.8404,-52857.53914,105879.0783,105879.2486,110281.9687,-54723.2624,109594.5248,109594.6637,-1,-1,-1,-1,3723,0.0,0.1818181818,1.0,0.2777777778,0.1818181818,1.0,0.1818181818,0.09302325581,0.1666666667
/home/sarah/eclipse-workspace/NetRAX/experiments/data/datasets_C_20_2_run_12_0/0_0,20,4,2,4000,1000,PERFECT_SAMPLING,CELINE,{'to': 0.4377401954086667| 'lambda': 6.163010178756481| 'nu': 0.018489030536269442| 'no_of_leaves': 20| 'no_of_hybrids': 2| 'ratio': 0.1| 'min_reticulation_prob': 0.1| 'max_reticulation_prob': 0.9},1.0,-mHKY -t3.0 -f0.3|0.2|0.2|0.3,0,0,0.0,/home/sarah/eclipse-workspace/NetRAX/experiments/data/datasets_C_20_2_run_12_0/0_0_true_network.nw,0.5,86.83,/home/sarah/eclipse-workspace/NetRAX/experiments/data/datasets_C_20_2_run_12_0/0_0_AVERAGE_LINKED_FROM_RAXMLunpartitioned_inferred_network.nw,AVERAGE,LINKED,FROM_RAXML,0,0,0,2.984,False,0.0,106574.0253,-52824.13159,105812.2632,105812.4335,110281.9692,-54723.262670000004,109594.5253,109594.6642,110281.9687,-54723.2624,109594.5248,109594.6637,-1,-1,-1,-1,3723,0.3928571429,0.4583333333,1.0,0.6111111111,0.5384615385,1.0,0.7333333333,0.3333333333,0.75
/home/sarah/eclipse-workspace/NetRAX/experiments/data/datasets_C_20_2_run_13_0/0_0,20,4,2,4000,1000,PERFECT_SAMPLING,CELINE,{'to': 0.22618426449471746| 'lambda': 15.54380752568958| 'nu': 0.04663142257706874| 'no_of_leaves': 20| 'no_of_hybrids': 2| 'ratio': 0.1| 'min_reticulation_prob': 0.1| 'max_reticulation_prob': 0.9},1.0,-mHKY -t3.0 -f0.3|0.2|0.2|0.3,0,0,0.0,/home/sarah/eclipse-workspace/NetRAX/experiments/data/datasets_C_20_2_run_13_0/0_0_true_network.nw,0.5,53.666000000000004,/home/sarah/eclipse-workspace/NetRAX/experiments/data/datasets_C_20_2_run_13_0/0_0_AVERAGE_LINKED_FROM_RAXMLinferred_network.nw,AVERAGE,LINKED,FROM_RAXML,0,0,0,86.19200000000002,True,2.0,62737.654220000004,-30905.94605,61975.89211,61976.06243,62772.340339999995,-30923.28911,62010.57822,62010.74855,66346.90402,-32755.73008,65659.46016,65659.59904,-1,-1,-1,-1,2273,0.0,0.1904761905,1.0,0.4594594595,0.3043478261,1.0,0.3333333333,0.1777777778,0.3703703704
/home/sarah/eclipse-workspace/NetRAX/experiments/data/datasets_C_20_2_run_13_0/0_0,20,4,2,4000,1000,PERFECT_SAMPLING,CELINE,{'to': 0.22618426449471746| 'lambda': 15.54380752568958| 'nu': 0.04663142257706874| 'no_of_leaves': 20| 'no_of_hybrids': 2| 'ratio': 0.1| 'min_reticulation_prob': 0.1| 'max_reticulation_prob': 0.9},1.0,-mHKY -t3.0 -f0.3|0.2|0.2|0.3,0,0,0.0,/home/sarah/eclipse-workspace/NetRAX/experiments/data/datasets_C_20_2_run_13_0/0_0_true_network.nw,0.5,53.666000000000004,/home/sarah/eclipse-workspace/NetRAX/experiments/data/datasets_C_20_2_run_13_0/0_0_AVERAGE_LINKED_FROM_RAXMLunpartitioned_inferred_network.nw,AVERAGE,LINKED,FROM_RAXML,0,0,0,2.908,False,0.0,62737.654220000004,-30905.94605,61975.89211,61976.06243,66346.90402,-32755.73008,65659.46015,65659.59903,66346.90402,-32755.73008,65659.46016,65659.59904,-1,-1,-1,-1,2273,0.3461538462,0.3181818182,1.0,0.5882352941,0.5384615385,1.0,0.5925925926,0.3333333333,0.6666666667
/home/sarah/eclipse-workspace/NetRAX/experiments/data/datasets_C_20_2_run_14_0/0_0,20,4,2,4000,1000,PERFECT_SAMPLING,CELINE,{'to': 0.15536782047156286| 'lambda': 24.563288917203298| 'nu': 0.07368986675160989| 'no_of_leaves': 20| 'no_of_hybrids': 2| 'ratio': 0.1| 'min_reticulation_prob': 0.1| 'max_reticulation_prob': 0.9},1.0,-mHKY -t3.0 -f0.3|0.2|0.2|0.3,0,0,0.0,/home/sarah/eclipse-workspace/NetRAX/experiments/data/datasets_C_20_2_run_14_0/0_0_true_network.nw,0.5,35.022,/home/sarah/eclipse-workspace/NetRAX/experiments/data/datasets_C_20_2_run_14_0/0_0_AVERAGE_LINKED_FROM_RAXMLinferred_network.nw,AVERAGE,LINKED,FROM_RAXML,0,0,0,58.31800000000001,True,2.0,54137.68555,-26605.96172,53375.92343,53376.09376,54157.05335,-26615.64562,53395.29124,53395.46156,56415.66837000001,-27790.11225,55728.22451,55728.36339,-1,-1,-1,-1,1872,0.04,0.1,1.0,0.1379310345,0.09523809524,1.0,0.09523809524,0.04761904762,0.1666666667
