name,n_taxa,n_trees,n_reticulations,msa_size,sites_per_tree,sampling_type,simulation_type,celine_params,brlen_scaler,seqgen_params,near_zero_branches_raxml,n_equal_tree_pairs,true_network_weirdness,true_network_path,fixed_reticulation_prob,runtime_raxml,inferred_network_path,likelihood_type,brlen_linkage_type,start_type,timeout,n_random_start_networks,n_parsimony_start_networks,runtime_inference,use_partitioned_msa,n_reticulations_inferred,bic_true,logl_true,aic_true,aicc_true,bic_inferred,logl_inferred,aic_inferred,aicc_inferred,bic_raxml,logl_raxml,aic_raxml,aicc_raxml,rf_absolute_raxml,rf_relative_raxml,rf_absolute_inferred,rf_relative_inferred,msa_patterns,unrooted_softwired_network_distance,unrooted_hardwired_network_distance,unrooted_displayed_trees_distance,rooted_softwired_network_distance,rooted_hardwired_network_distance,rooted_displayed_trees_distance,rooted_tripartition_distance,rooted_path_multiplicity_distance,rooted_nested_labels_distance
data/datasets_D_scramble/0_0,30,8,3,8000,1000,PERFECT_SAMPLING,CELINE,{'to': 0.2381609930645172| 'lambda': 20.52883530369641| 'nu': 0.06158650591108923| 'no_of_leaves': 30| 'no_of_hybrids': 3| 'ratio': 0.1| 'min_reticulation_prob': 0.1| 'max_reticulation_prob': 0.9},1.0,-mHKY -t3.0 -f0.3|0.2|0.2|0.3,0,0,0.0,data/datasets_D_scramble/0_0_true_network.nw,0.5,120.553,data/datasets_D_scramble/0_0_BEST_LINKED_FROM_RAXML_inferred_network.nw,BEST,LINKED,FROM_RAXML,0,0,0,276.59,True,3.0,141841.8583,-70041.35317,140366.7063,140366.8757,141884.4673,-70062.65767,140409.3153,140409.4847,149762.3936,-74075.95116,148411.9023,148412.0443,-1,-1,-1,-1,5102,0.0,0.2058823529,1.0,0.4561403509,0.3055555556,1.0,0.3243243243,0.1764705882,0.380952381
data/datasets_D_scramble/0_0,30,8,3,8000,1000,PERFECT_SAMPLING,CELINE,{'to': 0.2381609930645172| 'lambda': 20.52883530369641| 'nu': 0.06158650591108923| 'no_of_leaves': 30| 'no_of_hybrids': 3| 'ratio': 0.1| 'min_reticulation_prob': 0.1| 'max_reticulation_prob': 0.9},1.0,-mHKY -t3.0 -f0.3|0.2|0.2|0.3,0,0,0.0,data/datasets_D_scramble/0_0_true_network.nw,0.5,120.553,data/datasets_D_scramble/0_0_AVERAGE_LINKED_FROM_RAXML_inferred_network.nw,AVERAGE,LINKED,FROM_RAXML,0,0,0,380.342,True,3.0,141841.8583,-70041.35317,140366.7063,140366.8757,141884.5141,-70062.68108,140409.3622,140409.5315,149762.3936,-74075.95116,148411.9023,148412.0443,-1,-1,-1,-1,5102,0.0,0.2058823529,1.0,0.4561403509,0.3055555556,1.0,0.3243243243,0.1764705882,0.380952381
data/datasets_D_scramble/0_1,30,8,3,8000,1000,PERFECT_SAMPLING,CELINE,{'to': 0.2381609930645172| 'lambda': 20.52883530369641| 'nu': 0.06158650591108923| 'no_of_leaves': 30| 'no_of_hybrids': 3| 'ratio': 0.1| 'min_reticulation_prob': 0.1| 'max_reticulation_prob': 0.9},1.0,-mHKY -t3.0 -f0.3|0.2|0.2|0.3,0,0,0.0,data/datasets_D_scramble/0_0_true_network.nw,0.5,125.121,data/datasets_D_scramble/0_1_BEST_LINKED_FROM_RAXML_inferred_network.nw,BEST,LINKED,FROM_RAXML,0,0,0,219.061,True,3.0,143375.93,-70808.38902,141900.77800000002,141900.9474,143442.376,-70841.61200000001,141967.22400000002,141967.3933,149771.4621,-74080.48543,148420.9709,148421.1129,-1,-1,-1,-1,5145,0.0,0.2058823529,1.0,0.4,0.2058823529,1.0,0.2285714286,0.1212121212,0.3
data/datasets_D_scramble/0_1,30,8,3,8000,1000,PERFECT_SAMPLING,CELINE,{'to': 0.2381609930645172| 'lambda': 20.52883530369641| 'nu': 0.06158650591108923| 'no_of_leaves': 30| 'no_of_hybrids': 3| 'ratio': 0.1| 'min_reticulation_prob': 0.1| 'max_reticulation_prob': 0.9},1.0,-mHKY -t3.0 -f0.3|0.2|0.2|0.3,0,0,0.0,data/datasets_D_scramble/0_0_true_network.nw,0.5,125.121,data/datasets_D_scramble/0_1_AVERAGE_LINKED_FROM_RAXML_inferred_network.nw,AVERAGE,LINKED,FROM_RAXML,0,0,0,313.832,True,3.0,143375.93,-70808.38902,141900.77800000002,141900.9474,143442.376,-70841.61200000001,141967.22400000002,141967.3933,149771.4621,-74080.48543,148420.9709,148421.1129,-1,-1,-1,-1,5145,0.0,0.2058823529,1.0,0.4,0.2058823529,1.0,0.2285714286,0.1212121212,0.3
data/datasets_D_scramble/0_2,30,8,3,8000,1000,PERFECT_SAMPLING,CELINE,{'to': 0.2381609930645172| 'lambda': 20.52883530369641| 'nu': 0.06158650591108923| 'no_of_leaves': 30| 'no_of_hybrids': 3| 'ratio': 0.1| 'min_reticulation_prob': 0.1| 'max_reticulation_prob': 0.9},1.0,-mHKY -t3.0 -f0.3|0.2|0.2|0.3,0,0,0.0,data/datasets_D_scramble/0_0_true_network.nw,0.5,123.432,data/datasets_D_scramble/0_2_BEST_LINKED_FROM_RAXML_inferred_network.nw,BEST,LINKED,FROM_RAXML,0,0,0,2061.706,True,5.0,144702.5355,-71471.69176,143227.3835,143227.5528,144891.3965,-71516.56867000001,143333.1373,143333.3262,149759.2407,-74074.37473,148408.7495,148408.8914,-1,-1,-1,-1,5151,0.09302325581,0.1818181818,1.0,0.28,0.2352941176,1.0,0.2972972973,0.2,0.3636363636
data/datasets_D_scramble/0_2,30,8,3,8000,1000,PERFECT_SAMPLING,CELINE,{'to': 0.2381609930645172| 'lambda': 20.52883530369641| 'nu': 0.06158650591108923| 'no_of_leaves': 30| 'no_of_hybrids': 3| 'ratio': 0.1| 'min_reticulation_prob': 0.1| 'max_reticulation_prob': 0.9},1.0,-mHKY -t3.0 -f0.3|0.2|0.2|0.3,0,0,0.0,data/datasets_D_scramble/0_0_true_network.nw,0.5,123.432,data/datasets_D_scramble/0_2_AVERAGE_LINKED_FROM_RAXML_inferred_network.nw,AVERAGE,LINKED,FROM_RAXML,0,0,0,2274.382,True,5.0,144702.5355,-71471.69176,143227.3835,143227.5528,144861.1042,-71501.42253,143302.8451,143303.0339,149759.2407,-74074.37473,148408.7495,148408.8914,-1,-1,-1,-1,5151,0.09302325581,0.1818181818,1.0,0.28,0.2352941176,1.0,0.2972972973,0.2,0.3636363636
data/datasets_D_scramble/0_3,30,8,3,8000,1000,PERFECT_SAMPLING,CELINE,{'to': 0.2381609930645172| 'lambda': 20.52883530369641| 'nu': 0.06158650591108923| 'no_of_leaves': 30| 'no_of_hybrids': 3| 'ratio': 0.1| 'min_reticulation_prob': 0.1| 'max_reticulation_prob': 0.9},1.0,-mHKY -t3.0 -f0.3|0.2|0.2|0.3,0,0,0.0,data/datasets_D_scramble/0_0_true_network.nw,0.5,122.633,data/datasets_D_scramble/0_3_BEST_LINKED_FROM_RAXML_inferred_network.nw,BEST,LINKED,FROM_RAXML,0,0,0,216.316,True,3.0,146333.4232,-72287.1356,144858.2712,144858.4405,146315.024,-72277.936,144839.872,144840.0413,149765.7861,-74077.64745,148415.2949,148415.4369,-1,-1,-1,-1,5172,0.1666666667,0.1818181818,1.0,0.36,0.2571428571,1.0,0.2777777778,0.1492537313,0.3414634146
data/datasets_D_scramble/0_3,30,8,3,8000,1000,PERFECT_SAMPLING,CELINE,{'to': 0.2381609930645172| 'lambda': 20.52883530369641| 'nu': 0.06158650591108923| 'no_of_leaves': 30| 'no_of_hybrids': 3| 'ratio': 0.1| 'min_reticulation_prob': 0.1| 'max_reticulation_prob': 0.9},1.0,-mHKY -t3.0 -f0.3|0.2|0.2|0.3,0,0,0.0,data/datasets_D_scramble/0_0_true_network.nw,0.5,122.633,data/datasets_D_scramble/0_3_AVERAGE_LINKED_FROM_RAXML_inferred_network.nw,AVERAGE,LINKED,FROM_RAXML,0,0,0,313.147,True,3.0,146333.4232,-72287.1356,144858.2712,144858.4405,146315.024,-72277.936,144839.872,144840.0413,149765.7861,-74077.64745,148415.2949,148415.4369,-1,-1,-1,-1,5172,0.1666666667,0.1818181818,1.0,0.36,0.2571428571,1.0,0.2777777778,0.1492537313,0.3414634146
data/datasets_D_scramble/0_4,30,8,3,8000,1000,PERFECT_SAMPLING,CELINE,{'to': 0.2381609930645172| 'lambda': 20.52883530369641| 'nu': 0.06158650591108923| 'no_of_leaves': 30| 'no_of_hybrids': 3| 'ratio': 0.1| 'min_reticulation_prob': 0.1| 'max_reticulation_prob': 0.9},1.0,-mHKY -t3.0 -f0.3|0.2|0.2|0.3,0,0,0.0,data/datasets_D_scramble/0_0_true_network.nw,0.5,126.701,data/datasets_D_scramble/0_4_BEST_LINKED_FROM_RAXML_inferred_network.nw,BEST,LINKED,FROM_RAXML,0,0,0,164.84599999999998,True,3.0,147593.6079,-72917.22795,146118.4559,146118.6252,147252.6821,-72746.76509,145777.5302,145777.6995,149788.3137,-74088.91123,148437.8225,148437.9645,-1,-1,-1,-1,5213,0.2142857143,0.2647058824,1.0,0.2978723404,0.2857142857,1.0,0.3243243243,0.1764705882,0.3414634146
data/datasets_D_scramble/0_4,30,8,3,8000,1000,PERFECT_SAMPLING,CELINE,{'to': 0.2381609930645172| 'lambda': 20.52883530369641| 'nu': 0.06158650591108923| 'no_of_leaves': 30| 'no_of_hybrids': 3| 'ratio': 0.1| 'min_reticulation_prob': 0.1| 'max_reticulation_prob': 0.9},1.0,-mHKY -t3.0 -f0.3|0.2|0.2|0.3,0,0,0.0,data/datasets_D_scramble/0_0_true_network.nw,0.5,126.701,data/datasets_D_scramble/0_4_AVERAGE_LINKED_FROM_RAXML_inferred_network.nw,AVERAGE,LINKED,FROM_RAXML,0,0,0,229.821,True,3.0,147593.6079,-72917.22795,146118.4559,146118.6252,147252.6821,-72746.76509,145777.5302,145777.6995,149788.3137,-74088.91123,148437.8225,148437.9645,-1,-1,-1,-1,5213,0.2142857143,0.2647058824,1.0,0.2978723404,0.2857142857,1.0,0.3243243243,0.1764705882,0.3414634146
data/datasets_D_scramble/0_5,30,8,3,8000,1000,PERFECT_SAMPLING,CELINE,{'to': 0.2381609930645172| 'lambda': 20.52883530369641| 'nu': 0.06158650591108923| 'no_of_leaves': 30| 'no_of_hybrids': 3| 'ratio': 0.1| 'min_reticulation_prob': 0.1| 'max_reticulation_prob': 0.9},1.0,-mHKY -t3.0 -f0.3|0.2|0.2|0.3,0,0,0.0,data/datasets_D_scramble/0_0_true_network.nw,0.5,124.198,data/datasets_D_scramble/0_5_BEST_LINKED_FROM_RAXML_inferred_network.nw,BEST,LINKED,FROM_RAXML,0,0,0,155.864,True,3.0,148426.9356,-73333.89181,146951.7836,146951.9529,148065.966,-73153.40701,146590.814,146590.9833,149741.3303,-74065.41952000001,148390.839,148390.981,-1,-1,-1,-1,5234,0.2325581395,0.2857142857,1.0,0.4615384615,0.4210526316,1.0,0.4358974359,0.2535211268,0.4888888889
