name,n_taxa,n_trees,n_reticulations,msa_size,sites_per_tree,sampling_type,simulation_type,celine_params,brlen_scaler,seqgen_params,near_zero_branches_raxml,n_equal_tree_pairs,true_network_weirdness,true_network_path,fixed_reticulation_prob,runtime_raxml,inferred_network_path,likelihood_type,brlen_linkage_type,start_type,timeout,n_random_start_networks,n_parsimony_start_networks,runtime_inference,use_partitioned_msa,n_reticulations_inferred,bic_true,logl_true,aic_true,aicc_true,bic_inferred,logl_inferred,aic_inferred,aicc_inferred,bic_raxml,logl_raxml,aic_raxml,aicc_raxml,rf_absolute_raxml,rf_relative_raxml,rf_absolute_inferred,rf_relative_inferred,msa_patterns,unrooted_softwired_network_distance,unrooted_hardwired_network_distance,unrooted_displayed_trees_distance,rooted_softwired_network_distance,rooted_hardwired_network_distance,rooted_displayed_trees_distance,rooted_tripartition_distance,rooted_path_multiplicity_distance,rooted_nested_labels_distance
/home/luttersh/NetRAX/experiments/data/datasets_E_30_3_0/0_0,30,8,3,400,50,PERFECT_SAMPLING,CELINE,{'to': 0.489264070258575| 'lambda': 7.474253477993669| 'nu': 0.022422760433981007| 'no_of_leaves': 30| 'no_of_hybrids': 3| 'ratio': 0.1| 'min_reticulation_prob': 0.1| 'max_reticulation_prob': 0.9},1.0,-mHKY -t3.0 -f0.3|0.2|0.2|0.3,0,0,0.0,/home/luttersh/NetRAX/experiments/data/datasets_E_30_3_0/0_0_true_network.nw,0.5,5.529,/home/luttersh/NetRAX/experiments/data/datasets_E_30_3_0/0_0_BEST_LINKED_FROM_RAXMLinferred_network.nw,BEST,LINKED,FROM_RAXML,0,0,0,14.365,True,1.0,13315.94886,-5991.095433,12266.19087,12269.61602,13327.06673,-6034.225017,12336.45003,12339.49934,13482.53003,-6130.741988,12521.48398,12524.35364,-1,-1,-1,-1,397,0.2105263158,0.1,1.0,0.2682926829,0.1290322581,1.0,0.4615384615,0.231884058,0.6382978723
/home/luttersh/NetRAX/experiments/data/datasets_E_30_3_0/0_0,30,8,3,400,50,PERFECT_SAMPLING,CELINE,{'to': 0.489264070258575| 'lambda': 7.474253477993669| 'nu': 0.022422760433981007| 'no_of_leaves': 30| 'no_of_hybrids': 3| 'ratio': 0.1| 'min_reticulation_prob': 0.1| 'max_reticulation_prob': 0.9},1.0,-mHKY -t3.0 -f0.3|0.2|0.2|0.3,0,0,0.0,/home/luttersh/NetRAX/experiments/data/datasets_E_30_3_0/0_0_true_network.nw,0.5,5.529,/home/luttersh/NetRAX/experiments/data/datasets_E_30_3_0/0_0_AVERAGE_LINKED_FROM_RAXMLinferred_network.nw,AVERAGE,LINKED,FROM_RAXML,0,0,0,101.104,True,2.0,13314.32889,-5990.285448,12264.5709,12267.99605,13301.4251,-6002.618875,12281.23775,12284.47222,13482.53003,-6130.741988,12521.48398,12524.35364,-1,-1,-1,-1,397,0.07894736842,0.1,1.0,0.1463414634,0.1290322581,1.0,0.2058823529,0.2428571429,0.5652173913
/home/luttersh/NetRAX/experiments/data/datasets_E_30_3_0/0_1,30,8,3,800,100,PERFECT_SAMPLING,CELINE,{'to': 0.489264070258575| 'lambda': 7.474253477993669| 'nu': 0.022422760433981007| 'no_of_leaves': 30| 'no_of_hybrids': 3| 'ratio': 0.1| 'min_reticulation_prob': 0.1| 'max_reticulation_prob': 0.9},1.0,-mHKY -t3.0 -f0.3|0.2|0.2|0.3,0,0,0.0,/home/luttersh/NetRAX/experiments/data/datasets_E_30_3_0/0_1_true_network.nw,0.5,9.376,/home/luttersh/NetRAX/experiments/data/datasets_E_30_3_0/0_1_BEST_LINKED_FROM_RAXMLinferred_network.nw,BEST,LINKED,FROM_RAXML,0,0,0,9.868,True,1.0,24905.27889,-11736.547,23757.094,23758.79631,25023.96808,-11836.23483,23940.46966,23941.98569,25523.39629,-12106.12055,24472.24111,24473.66806,-1,-1,-1,-1,794,0.2105263158,0.2727272727,1.0,0.3488372093,0.2941176471,1.0,0.5365853659,0.3055555556,0.693877551
/home/luttersh/NetRAX/experiments/data/datasets_E_30_3_0/0_1,30,8,3,800,100,PERFECT_SAMPLING,CELINE,{'to': 0.489264070258575| 'lambda': 7.474253477993669| 'nu': 0.022422760433981007| 'no_of_leaves': 30| 'no_of_hybrids': 3| 'ratio': 0.1| 'min_reticulation_prob': 0.1| 'max_reticulation_prob': 0.9},1.0,-mHKY -t3.0 -f0.3|0.2|0.2|0.3,0,0,0.0,/home/luttersh/NetRAX/experiments/data/datasets_E_30_3_0/0_1_true_network.nw,0.5,9.376,/home/luttersh/NetRAX/experiments/data/datasets_E_30_3_0/0_1_AVERAGE_LINKED_FROM_RAXMLinferred_network.nw,AVERAGE,LINKED,FROM_RAXML,0,0,0,37.408,True,1.0,24905.27501,-11736.54506,23757.09011,23758.79242,25025.78697,-11837.14428,23942.28855,23943.80458,25523.39629,-12106.12055,24472.24111,24473.66806,-1,-1,-1,-1,794,0.1891891892,0.25,1.0,0.4318181818,0.3428571429,1.0,0.5714285714,0.3287671233,0.693877551
/home/luttersh/NetRAX/experiments/data/datasets_E_30_3_0/0_2,30,8,3,4000,500,PERFECT_SAMPLING,CELINE,{'to': 0.489264070258575| 'lambda': 7.474253477993669| 'nu': 0.022422760433981007| 'no_of_leaves': 30| 'no_of_hybrids': 3| 'ratio': 0.1| 'min_reticulation_prob': 0.1| 'max_reticulation_prob': 0.9},1.0,-mHKY -t3.0 -f0.3|0.2|0.2|0.3,0,0,0.0,/home/luttersh/NetRAX/experiments/data/datasets_E_30_3_0/0_2_true_network.nw,0.5,24.978,/home/luttersh/NetRAX/experiments/data/datasets_E_30_3_0/0_2_BEST_LINKED_FROM_RAXMLinferred_network.nw,BEST,LINKED,FROM_RAXML,0,0,0,85.993,True,3.0,121794.9582,-60067.11655,120418.2331,120418.5719,121853.8773,-60096.57613,120477.1523,120477.4911,125346.3046,-61912.96125,124085.9225,124086.2066,-1,-1,-1,-1,3892,0.02631578947,0.06896551724,1.0,0.02564102564,0.06666666667,1.0,0.0625,0.03174603175,0.3
/home/luttersh/NetRAX/experiments/data/datasets_E_30_3_0/0_2,30,8,3,4000,500,PERFECT_SAMPLING,CELINE,{'to': 0.489264070258575| 'lambda': 7.474253477993669| 'nu': 0.022422760433981007| 'no_of_leaves': 30| 'no_of_hybrids': 3| 'ratio': 0.1| 'min_reticulation_prob': 0.1| 'max_reticulation_prob': 0.9},1.0,-mHKY -t3.0 -f0.3|0.2|0.2|0.3,0,0,0.0,/home/luttersh/NetRAX/experiments/data/datasets_E_30_3_0/0_2_true_network.nw,0.5,24.978,/home/luttersh/NetRAX/experiments/data/datasets_E_30_3_0/0_2_AVERAGE_LINKED_FROM_RAXMLinferred_network.nw,AVERAGE,LINKED,FROM_RAXML,0,0,0,303.508,True,3.0,121794.9582,-60067.11655,120418.2331,120418.5719,121853.9317,-60096.60331,120477.2066,120477.5455,125346.3046,-61912.96125,124085.9225,124086.2066,-1,-1,-1,-1,3892,0.02631578947,0.06896551724,1.0,0.02564102564,0.06666666667,1.0,0.0625,0.03174603175,0.3
/home/luttersh/NetRAX/experiments/data/datasets_E_30_3_0/0_3,30,8,3,8000,1000,PERFECT_SAMPLING,CELINE,{'to': 0.489264070258575| 'lambda': 7.474253477993669| 'nu': 0.022422760433981007| 'no_of_leaves': 30| 'no_of_hybrids': 3| 'ratio': 0.1| 'min_reticulation_prob': 0.1| 'max_reticulation_prob': 0.9},1.0,-mHKY -t3.0 -f0.3|0.2|0.2|0.3,0,0,0.0,/home/luttersh/NetRAX/experiments/data/datasets_E_30_3_0/0_3_true_network.nw,0.5,34.374,/home/luttersh/NetRAX/experiments/data/datasets_E_30_3_0/0_3_BEST_LINKED_FROM_RAXMLinferred_network.nw,BEST,LINKED,FROM_RAXML,0,0,0,150.824,True,3.0,241644.5703,-119942.7092,240169.4183,240169.5876,241719.2335,-119980.0407,240244.0815,240244.2508,248851.3876,-123620.4482,247500.8963,247501.0383,-1,-1,-1,-1,7634,0.0,0.1666666667,1.0,0.3111111111,0.2727272727,1.0,0.2777777778,0.1492537313,0.3
/home/luttersh/NetRAX/experiments/data/datasets_E_30_3_0/0_3,30,8,3,8000,1000,PERFECT_SAMPLING,CELINE,{'to': 0.489264070258575| 'lambda': 7.474253477993669| 'nu': 0.022422760433981007| 'no_of_leaves': 30| 'no_of_hybrids': 3| 'ratio': 0.1| 'min_reticulation_prob': 0.1| 'max_reticulation_prob': 0.9},1.0,-mHKY -t3.0 -f0.3|0.2|0.2|0.3,0,0,0.0,/home/luttersh/NetRAX/experiments/data/datasets_E_30_3_0/0_3_true_network.nw,0.5,34.374,/home/luttersh/NetRAX/experiments/data/datasets_E_30_3_0/0_3_AVERAGE_LINKED_FROM_RAXMLinferred_network.nw,AVERAGE,LINKED,FROM_RAXML,0,0,0,378.566,True,3.0,241644.5703,-119942.7092,240169.4183,240169.5876,241719.3539,-119980.1009,240244.2019,240244.3712,248851.3876,-123620.4482,247500.8963,247501.0383,-1,-1,-1,-1,7634,0.0,0.1666666667,1.0,0.3111111111,0.2727272727,1.0,0.2777777778,0.1492537313,0.3
/home/luttersh/NetRAX/experiments/data/datasets_E_30_3_0/0_4,30,8,3,40000,5000,PERFECT_SAMPLING,CELINE,{'to': 0.489264070258575| 'lambda': 7.474253477993669| 'nu': 0.022422760433981007| 'no_of_leaves': 30| 'no_of_hybrids': 3| 'ratio': 0.1| 'min_reticulation_prob': 0.1| 'max_reticulation_prob': 0.9},1.0,-mHKY -t3.0 -f0.3|0.2|0.2|0.3,0,0,0.0,/home/luttersh/NetRAX/experiments/data/datasets_E_30_3_0/0_4_true_network.nw,0.5,139.051,/home/luttersh/NetRAX/experiments/data/datasets_E_30_3_0/0_4_BEST_LINKED_FROM_RAXMLinferred_network.nw,BEST,LINKED,FROM_RAXML,0,0,0,444.379,True,3.0,1200424.741,-599218.5245,1198721.049,1198721.083,1200803.608,-599407.9582,1199099.916,1199099.95,1237084.774,-617632.5281,1235525.056,1235525.085,-1,-1,-1,-1,36264,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.05714285714
/home/luttersh/NetRAX/experiments/data/datasets_E_30_3_0/0_4,30,8,3,40000,5000,PERFECT_SAMPLING,CELINE,{'to': 0.489264070258575| 'lambda': 7.474253477993669| 'nu': 0.022422760433981007| 'no_of_leaves': 30| 'no_of_hybrids': 3| 'ratio': 0.1| 'min_reticulation_prob': 0.1| 'max_reticulation_prob': 0.9},1.0,-mHKY -t3.0 -f0.3|0.2|0.2|0.3,0,0,0.0,/home/luttersh/NetRAX/experiments/data/datasets_E_30_3_0/0_4_true_network.nw,0.5,139.051,/home/luttersh/NetRAX/experiments/data/datasets_E_30_3_0/0_4_AVERAGE_LINKED_FROM_RAXMLinferred_network.nw,AVERAGE,LINKED,FROM_RAXML,0,0,0,643.357,True,3.0,1200424.741,-599218.5245,1198721.049,1198721.083,1200803.608,-599407.9582,1199099.916,1199099.95,1237084.774,-617632.5281,1235525.056,1235525.085,-1,-1,-1,-1,36264,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.05714285714
/home/luttersh/NetRAX/experiments/data/datasets_E_30_3_0/0_5,30,8,3,80000,10000,PERFECT_SAMPLING,CELINE,{'to': 0.489264070258575| 'lambda': 7.474253477993669| 'nu': 0.022422760433981007| 'no_of_leaves': 30| 'no_of_hybrids': 3| 'ratio': 0.1| 'min_reticulation_prob': 0.1| 'max_reticulation_prob': 0.9},1.0,-mHKY -t3.0 -f0.3|0.2|0.2|0.3,0,0,0.0,/home/luttersh/NetRAX/experiments/data/datasets_E_30_3_0/0_5_true_network.nw,0.5,339.829,/home/luttersh/NetRAX/experiments/data/datasets_E_30_3_0/0_5_BEST_LINKED_FROM_RAXMLinferred_network.nw,BEST,LINKED,FROM_RAXML,0,0,0,1165.309,True,3.0,2399714.717,-1198814.299,2397912.598,2397912.615,2400284.09,-1199098.985,2398481.971,2398481.988,2472386.947,-1235238.56,2470737.12,2470737.134,-1,-1,-1,-1,69916,0.0,0.1333333333,1.0,0.25,0.1875,1.0,0.1764705882,0.09230769231,0.2105263158
