iteration,likelihood_model,1,2,4,8,16,32,64
0,BEST,2487,1417,823,601,389,305,327
0,AVERAGE,2870,1663,988,738,539,425,442
1,BEST,4595,2655,1586,1177,774,516,502
1,AVERAGE,4411,2564,1542,1167,814,568,544
2,BEST,10881,6283,3755,2214,1846,1047,656
2,AVERAGE,8923,5231,3110,2371,1637,1014,823
3,BEST,3860,2269,1325,985,686,499,538
3,AVERAGE,3884,2293,1397,1069,775,615,666
4,BEST,6032,3432,1955,1440,969,565,462
4,AVERAGE,6249,3594,2102,1600,1108,706,615
5,BEST,3254,1859,1071,793,547,400,437
5,AVERAGE,3857,2276,1362,1029,754,597,626
6,BEST,14539,8429,5146,3982,2605,1503,1252
6,AVERAGE,11167,6520,3896,3002,2056,1241,1036
7,BEST,5075,2956,1757,1316,878,658,682
7,AVERAGE,4096,2437,1601,1166,863,651,696
8,BEST,1878,1089,632,464,316,251,274
8,AVERAGE,1792,1059,652,497,369,303,333
9,BEST,4971,2852,1654,1223,812,488,405
9,AVERAGE,4462,2611,1587,1199,843,555,489
