,name,n_taxa,n_trees,n_reticulations,msa_size,sites_per_tree,sampling_type,simulation_type,celine_params,brlen_scaler,seqgen_params,near_zero_branches_raxml,n_equal_tree_pairs,true_network_weirdness,true_network_path,fixed_reticulation_prob,runtime_raxml,inferred_network_path,likelihood_type,brlen_linkage_type,start_type,timeout,n_random_start_networks,n_parsimony_start_networks,runtime_inference,use_partitioned_msa,n_reticulations_inferred,bic_true,logl_true,aic_true,aicc_true,bic_inferred,logl_inferred,aic_inferred,aicc_inferred,bic_raxml,logl_raxml,aic_raxml,aicc_raxml,rf_absolute_raxml,rf_relative_raxml,rf_absolute_inferred,rf_relative_inferred,msa_patterns,unrooted_softwired_network_distance,unrooted_hardwired_network_distance,unrooted_displayed_trees_distance,rooted_softwired_network_distance,rooted_hardwired_network_distance,rooted_displayed_trees_distance,rooted_tripartition_distance,rooted_path_multiplicity_distance,rooted_nested_labels_distance,bic_diff,aic_diff,aicc_diff,logl_diff,bic_diff_relative,aic_diff_relative,aicc_diff_relative,logl_diff_relative,msa_patterns_relative,inferred_bic_better_or_equal,inferred_aic_better_or_equal,inferred_aicc_better_or_equal,inferred_logl_better_or_equal,inferred_bic_worse,inferred_aic_worse,inferred_aicc_worse,inferred_logl_worse,inferred_n_reticulations_less,inferred_n_reticulations_equal,inferred_n_reticulations_more,unrooted_softwired_distance_zero,good_result,okay_result,bad_result,scrambling_factor
1,data/datasets_D_scramble/0_0,30,8,3,8003,1000,PERFECT_SAMPLING,CELINE,{'to': 0.13434577846009726| 'lambda': 22.0582437394093| 'nu': 0.0661747312182279| 'no_of_leaves': 30| 'no_of_hybrids': 3| 'ratio': 0.1| 'min_reticulation_prob': 0.1| 'max_reticulation_prob': 0.9},1.0,-mHKY -t3.0 -f0.3|0.2|0.2|0.3,0,0,0.0,data/datasets_D_scramble/0_0_true_network.nw,0.5,97.366,data/datasets_D_scramble/0_0_AVERAGE_LINKED_FROM_RAXML_inferred_network.nw,AVERAGE,LINKED,FROM_RAXML,0,0,0,350.99800000000016,True,3.0,131021.7427,-64631.26872000001,129546.5374,129546.7067,131037.1855,-64638.99013,129561.9803,129562.1495,133578.8923,-65984.17618,132228.3524,132228.4943,-1,-1,-1,-1,4387,0.02,0.2647058824,1.0,0.43076923079999996,0.3513513514,1.0,0.36842105259999997,0.2028985507,0.380952381,-15.442800000004354,-15.442899999994552,-15.442800000004354,7.72140999999101,-0.00011786440694323289,-0.00011920735443751468,-0.00011920642672736006,-0.00011946864347413989,0.548169436461327,False,False,False,False,True,True,True,True,False,True,False,False,False,True,False,0.0
3,data/datasets_D_scramble/0_1,30,8,3,8003,1000,PERFECT_SAMPLING,CELINE,{'to': 0.13434577846009726| 'lambda': 22.0582437394093| 'nu': 0.0661747312182279| 'no_of_leaves': 30| 'no_of_hybrids': 3| 'ratio': 0.1| 'min_reticulation_prob': 0.1| 'max_reticulation_prob': 0.9},1.0,-mHKY -t3.0 -f0.3|0.2|0.2|0.3,0,0,0.0,data/datasets_D_scramble/0_0_true_network.nw,0.5,105.693,data/datasets_D_scramble/0_1_AVERAGE_LINKED_FROM_RAXML_inferred_network.nw,AVERAGE,LINKED,FROM_RAXML,0,0,0,471.179,True,3.0,131812.7575,-65026.77612,130337.5522,130337.7215,131896.7344,-65068.7646,130421.5292,130421.6984,133594.2057,-65991.83288,132243.6658,132243.8077,-1,-1,-1,-1,4468,0.1818181818,0.3142857143,1.0,0.380952381,0.4615384615,1.0,0.475,0.301369863,0.5833333333,-83.97689999997965,-83.97699999999895,-83.9768999999942,41.98847999999998,-0.0006370923542812588,-0.0006443039521805516,-0.0006443023480350944,-0.0006457106211526573,0.5582906410096214,False,False,False,False,True,True,True,True,False,True,False,False,False,True,False,0.1
5,data/datasets_D_scramble/0_2,30,8,3,8003,1000,PERFECT_SAMPLING,CELINE,{'to': 0.13434577846009726| 'lambda': 22.0582437394093| 'nu': 0.0661747312182279| 'no_of_leaves': 30| 'no_of_hybrids': 3| 'ratio': 0.1| 'min_reticulation_prob': 0.1| 'max_reticulation_prob': 0.9},1.0,-mHKY -t3.0 -f0.3|0.2|0.2|0.3,0,0,0.0,data/datasets_D_scramble/0_0_true_network.nw,0.5,103.726,data/datasets_D_scramble/0_2_AVERAGE_LINKED_FROM_RAXML_inferred_network.nw,AVERAGE,LINKED,FROM_RAXML,0,0,0,387.89,True,3.0,132647.1386,-65443.96669,131171.9334,131172.1026,132521.9499,-65381.37235,131046.7447,131046.9139,133614.9994,-66002.22971,132264.4594,132264.6014,-1,-1,-1,-1,4534,0.07843137255,0.4324324324,1.0,0.5294117647,0.4871794872,1.0,0.5121951220000001,0.301369863,0.7407407407,125.18869999999879,125.18870000001334,125.18870000001334,-62.594340000003285,0.0009437723370536301,0.00095438632911096,0.0009543850980399954,0.0009564569992602214,0.5665375484193428,True,True,True,True,False,False,False,False,False,True,False,False,True,False,False,0.2
7,data/datasets_D_scramble/0_3,30,8,3,8003,1000,PERFECT_SAMPLING,CELINE,{'to': 0.13434577846009726| 'lambda': 22.0582437394093| 'nu': 0.0661747312182279| 'no_of_leaves': 30| 'no_of_hybrids': 3| 'ratio': 0.1| 'min_reticulation_prob': 0.1| 'max_reticulation_prob': 0.9},1.0,-mHKY -t3.0 -f0.3|0.2|0.2|0.3,0,0,0.0,data/datasets_D_scramble/0_0_true_network.nw,0.5,105.309,data/datasets_D_scramble/0_3_AVERAGE_LINKED_FROM_RAXML_inferred_network.nw,AVERAGE,LINKED,FROM_RAXML,0,0,0,272.637,True,3.0,133034.8529,-65637.82385,131559.6477,131559.81699999998,132900.3153,-65570.55506,131425.1101,131425.2794,133599.5968,-65994.52842999999,132249.0569,132249.1988,-1,-1,-1,-1,4577,0.11764705880000001,0.2857142857,1.0,0.14814814810000002,0.2777777778,1.0,0.2777777778,0.1492537313,0.6122448979999999,134.53760000001057,134.53760000001057,134.53759999998147,-67.2687900000019,0.001011295890266742,0.0010226357576359683,0.0010226344416394367,0.001024847961957561,0.5719105335499188,True,True,True,True,False,False,False,False,False,True,False,False,True,False,False,0.3
9,data/datasets_D_scramble/0_4,30,8,3,8003,1000,PERFECT_SAMPLING,CELINE,{'to': 0.13434577846009726| 'lambda': 22.0582437394093| 'nu': 0.0661747312182279| 'no_of_leaves': 30| 'no_of_hybrids': 3| 'ratio': 0.1| 'min_reticulation_prob': 0.1| 'max_reticulation_prob': 0.9},1.0,-mHKY -t3.0 -f0.3|0.2|0.2|0.3,0,0,0.0,data/datasets_D_scramble/0_0_true_network.nw,0.5,109.442,data/datasets_D_scramble/0_4_AVERAGE_LINKED_FROM_RAXML_inferred_network.nw,AVERAGE,LINKED,FROM_RAXML,0,0,0,453.014,True,3.0,133550.3109,-65895.55282000001,132075.1056,132075.2749,133396.8371,-65818.81597000001,131921.6319,131921.8012,133589.8699,-65989.66496000001,132239.3299,132239.4719,-1,-1,-1,-1,4631,0.3653846154,0.44736842109999997,1.0,0.5573770492,0.475,1.0,0.5238095238,0.301369863,0.64,153.47380000000703,153.47370000000228,153.47370000000228,-76.73685000000114,0.001149183397370938,0.0011620183781250164,0.0011620168885978393,0.0011645224406814701,0.5786580032487817,True,True,True,True,False,False,False,False,False,True,False,False,True,False,False,0.4
11,data/datasets_D_scramble/0_5,30,8,3,8003,1000,PERFECT_SAMPLING,CELINE,{'to': 0.13434577846009726| 'lambda': 22.0582437394093| 'nu': 0.0661747312182279| 'no_of_leaves': 30| 'no_of_hybrids': 3| 'ratio': 0.1| 'min_reticulation_prob': 0.1| 'max_reticulation_prob': 0.9},1.0,-mHKY -t3.0 -f0.3|0.2|0.2|0.3,0,0,0.0,data/datasets_D_scramble/0_0_true_network.nw,0.5,113.186,data/datasets_D_scramble/0_5_AVERAGE_LINKED_FROM_RAXML_inferred_network.nw,AVERAGE,LINKED,FROM_RAXML,0,0,0,341.745,True,3.0,133657.0539,-65948.92435,132181.8487,132182.018,133498.1855,-65869.49016,132022.9803,132023.1496,133604.1356,-65996.79783,132253.5957,132253.7376,-1,-1,-1,-1,4666,0.36,0.4736842105,1.0,0.5172413793,0.5,1.0,0.5909090909,0.3466666667,0.6666666667,158.86840000000666,158.86840000000666,158.86840000000666,-79.43418999999994,0.001188627127146386,0.0012018927073759913,0.0012018911679802517,0.0012044804488156894,0.5830313632387855,True,True,True,True,False,False,False,False,False,True,False,False,True,False,False,0.5
13,data/datasets_D_scramble/0_6,30,8,3,8003,1000,PERFECT_SAMPLING,CELINE,{'to': 0.13434577846009726| 'lambda': 22.0582437394093| 'nu': 0.0661747312182279| 'no_of_leaves': 30| 'no_of_hybrids': 3| 'ratio': 0.1| 'min_reticulation_prob': 0.1| 'max_reticulation_prob': 0.9},1.0,-mHKY -t3.0 -f0.3|0.2|0.2|0.3,0,0,0.0,data/datasets_D_scramble/0_0_true_network.nw,0.5,110.499,data/datasets_D_scramble/0_6_AVERAGE_LINKED_FROM_RAXML_inferred_network.nw,AVERAGE,LINKED,FROM_RAXML,0,0,0,8.252,True,0.0,133732.1704,-65986.48258,132256.9652,132257.1344,133628.9894,-66009.2247,132278.4494,132278.5913,133628.9894,-66009.2247,132278.4494,132278.5913,-1,-1,-1,-1,4721,0.46,0.45945945950000006,1.0,0.4905660377,0.525,1.0,0.6590909091,0.3194444444,0.7083333333,103.18100000001141,-21.48420000000624,-21.456899999990128,22.74212000000989,0.0007715495807133884,-0.00016244286240439334,-0.00016223623850109765,-0.0003446481629390995,0.5899037860802199,True,False,False,False,False,True,True,True,True,False,False,False,True,False,False,0.6
15,data/datasets_D_scramble/0_7,30,8,3,8003,1000,PERFECT_SAMPLING,CELINE,{'to': 0.13434577846009726| 'lambda': 22.0582437394093| 'nu': 0.0661747312182279| 'no_of_leaves': 30| 'no_of_hybrids': 3| 'ratio': 0.1| 'min_reticulation_prob': 0.1| 'max_reticulation_prob': 0.9},1.0,-mHKY -t3.0 -f0.3|0.2|0.2|0.3,0,0,0.0,data/datasets_D_scramble/0_0_true_network.nw,0.5,109.287,data/datasets_D_scramble/0_7_AVERAGE_LINKED_FROM_RAXML_inferred_network.nw,AVERAGE,LINKED,FROM_RAXML,0,0,0,7.778,True,0.0,133730.057,-65985.42587,132254.8517,132255.021,133612.6532,-66001.05657999999,132262.1132,132262.2551,133612.6531,-66001.05657999999,132262.1132,132262.2551,-1,-1,-1,-1,4739,0.46,0.45945945950000006,1.0,0.4905660377,0.525,1.0,0.6590909091,0.3194444444,0.7083333333,117.40380000000005,-7.261499999993248,-7.23410000000149,15.630709999983083,0.0008779163236279788,-5.4905358152492246e-05,-5.469811236884148e-05,-0.0002368812475466574,0.5921529426465075,True,False,False,False,False,True,True,True,True,False,False,False,True,False,False,0.7
17,data/datasets_D_scramble/0_8,30,8,3,8003,1000,PERFECT_SAMPLING,CELINE,{'to': 0.13434577846009726| 'lambda': 22.0582437394093| 'nu': 0.0661747312182279| 'no_of_leaves': 30| 'no_of_hybrids': 3| 'ratio': 0.1| 'min_reticulation_prob': 0.1| 'max_reticulation_prob': 0.9},1.0,-mHKY -t3.0 -f0.3|0.2|0.2|0.3,0,0,0.0,data/datasets_D_scramble/0_0_true_network.nw,0.5,116.256,data/datasets_D_scramble/0_8_AVERAGE_LINKED_FROM_RAXML_inferred_network.nw,AVERAGE,LINKED,FROM_RAXML,0,0,0,7.824,True,0.0,133761.1889,-66000.99184,132285.9837,132286.1529,133620.0036,-66004.73181,132269.4636,132269.6056,133620.0036,-66004.73181,132269.4636,132269.6056,-1,-1,-1,-1,4739,0.4901960784,0.5,1.0,0.6666666667,0.6590909091,1.0,0.6888888889,0.4078947368,0.7843137255,141.18530000001192,16.520100000023376,16.54729999997653,3.7399699999950826,0.0010555027296113688,0.0001248817111077156,0.00012508716624698617,-5.666536056096763e-05,0.5921529426465075,True,True,True,False,False,False,False,True,True,False,False,False,True,False,False,0.8
19,data/datasets_D_scramble/0_9,30,8,3,8003,1000,PERFECT_SAMPLING,CELINE,{'to': 0.13434577846009726| 'lambda': 22.0582437394093| 'nu': 0.0661747312182279| 'no_of_leaves': 30| 'no_of_hybrids': 3| 'ratio': 0.1| 'min_reticulation_prob': 0.1| 'max_reticulation_prob': 0.9},1.0,-mHKY -t3.0 -f0.3|0.2|0.2|0.3,0,0,0.0,data/datasets_D_scramble/0_0_true_network.nw,0.5,109.18,data/datasets_D_scramble/0_9_AVERAGE_LINKED_FROM_RAXML_inferred_network.nw,AVERAGE,LINKED,FROM_RAXML,0,0,0,8.354,True,0.0,133825.9032,-66033.349,132350.698,132350.8672,133636.441,-66012.9505,132285.90099999998,132286.0429,133636.441,-66012.95051,132285.90099999998,132286.043,-1,-1,-1,-1,4752,0.4901960784,0.5,1.0,0.6666666667,0.6590909091,1.0,0.6888888889,0.4078947368,0.7843137255,189.46220000000903,64.79700000002049,64.8243000000075,-20.398499999995693,0.0014157363818935842,0.0004895856310483568,0.0004897912750511052,0.0003089120922822753,0.5937773334999376,True,True,True,True,False,False,False,False,True,False,False,False,True,False,False,0.9
21,data/datasets_D_scramble/0_10,30,8,3,8003,1000,PERFECT_SAMPLING,CELINE,{'to': 0.13434577846009726| 'lambda': 22.0582437394093| 'nu': 0.0661747312182279| 'no_of_leaves': 30| 'no_of_hybrids': 3| 'ratio': 0.1| 'min_reticulation_prob': 0.1| 'max_reticulation_prob': 0.9},1.0,-mHKY -t3.0 -f0.3|0.2|0.2|0.3,0,0,0.0,data/datasets_D_scramble/0_0_true_network.nw,0.5,108.875,data/datasets_D_scramble/0_10_AVERAGE_LINKED_FROM_RAXML_inferred_network.nw,AVERAGE,LINKED,FROM_RAXML,0,0,0,7.697999999999999,True,0.0,133737.5834,-65989.18907000001,132262.3781,132262.5474,133611.0906,-66000.27528999999,132260.5506,132260.6925,133611.0905,-66000.27528,132260.5506,132260.6925,-1,-1,-1,-1,4747,0.4901960784,0.5,1.0,0.6440677965999999,0.6279069767000001,1.0,0.6590909091,0.3866666667,0.7843137255,126.49280000000726,1.8275000000139698,1.8549000000057276,11.086219999982859,0.0009458283661495207,1.3817232279252129e-05,1.4024378302619382e-05,-0.0001680005491236272,0.5931525677870798,True,True,True,False,False,False,False,True,True,False,False,False,True,False,False,1.0
