,name,n_taxa,n_trees,n_reticulations,msa_size,sites_per_tree,sampling_type,simulation_type,celine_params,brlen_scaler,seqgen_params,near_zero_branches_raxml,n_equal_tree_pairs,true_network_weirdness,true_network_path,fixed_reticulation_prob,runtime_raxml,inferred_network_path,likelihood_type,brlen_linkage_type,start_type,timeout,n_random_start_networks,n_parsimony_start_networks,runtime_inference,use_partitioned_msa,n_reticulations_inferred,bic_true,logl_true,aic_true,aicc_true,bic_inferred,logl_inferred,aic_inferred,aicc_inferred,bic_raxml,logl_raxml,aic_raxml,aicc_raxml,rf_absolute_raxml,rf_relative_raxml,rf_absolute_inferred,rf_relative_inferred,msa_patterns,unrooted_softwired_network_distance,unrooted_hardwired_network_distance,unrooted_displayed_trees_distance,rooted_softwired_network_distance,rooted_hardwired_network_distance,rooted_displayed_trees_distance,rooted_tripartition_distance,rooted_path_multiplicity_distance,rooted_nested_labels_distance,bic_diff,aic_diff,aicc_diff,logl_diff,bic_diff_relative,aic_diff_relative,aicc_diff_relative,logl_diff_relative,msa_patterns_relative,inferred_bic_better_or_equal,inferred_aic_better_or_equal,inferred_aicc_better_or_equal,inferred_logl_better_or_equal,inferred_bic_worse,inferred_aic_worse,inferred_aicc_worse,inferred_logl_worse,inferred_n_reticulations_less,inferred_n_reticulations_equal,inferred_n_reticulations_more,unrooted_softwired_distance_zero,good_result,okay_result,bad_result,scrambling_factor
0,data/datasets_D_scramble/0_0,30,8,3,8000,1000,PERFECT_SAMPLING,CELINE,{'to': 0.2381609930645172| 'lambda': 20.52883530369641| 'nu': 0.06158650591108923| 'no_of_leaves': 30| 'no_of_hybrids': 3| 'ratio': 0.1| 'min_reticulation_prob': 0.1| 'max_reticulation_prob': 0.9},1.0,-mHKY -t3.0 -f0.3|0.2|0.2|0.3,0,0,0.0,data/datasets_D_scramble/0_0_true_network.nw,0.5,120.553,data/datasets_D_scramble/0_0_BEST_LINKED_FROM_RAXML_inferred_network.nw,BEST,LINKED,FROM_RAXML,0,0,0,276.59,True,3.0,141841.8583,-70041.35317,140366.7063,140366.8757,141884.4673,-70062.65767,140409.3153,140409.4847,149762.3936,-74075.95116,148411.9023,148412.0443,-1,-1,-1,-1,5102,0.0,0.20588235289999998,1.0,0.45614035090000005,0.3055555556,1.0,0.3243243243,0.1764705882,0.380952381,-42.60899999999674,-42.60899999999674,-42.60899999999674,21.30449999999837,-0.0003003979256241649,-0.0003035548893548181,-0.00030355452301341447,-0.00030417030847889844,0.63775,False,False,False,False,True,True,True,True,False,True,False,True,True,False,False,0.0
2,data/datasets_D_scramble/0_1,30,8,3,8000,1000,PERFECT_SAMPLING,CELINE,{'to': 0.2381609930645172| 'lambda': 20.52883530369641| 'nu': 0.06158650591108923| 'no_of_leaves': 30| 'no_of_hybrids': 3| 'ratio': 0.1| 'min_reticulation_prob': 0.1| 'max_reticulation_prob': 0.9},1.0,-mHKY -t3.0 -f0.3|0.2|0.2|0.3,0,0,0.0,data/datasets_D_scramble/0_0_true_network.nw,0.5,125.12100000000001,data/datasets_D_scramble/0_1_BEST_LINKED_FROM_RAXML_inferred_network.nw,BEST,LINKED,FROM_RAXML,0,0,0,219.06099999999998,True,3.0,143375.93,-70808.38902,141900.77800000002,141900.9474,143442.376,-70841.61200000001,141967.22400000002,141967.3933,149771.4621,-74080.48543,148420.9709,148421.1129,-1,-1,-1,-1,5145,0.0,0.20588235289999998,1.0,0.4,0.20588235289999998,1.0,0.2285714286,0.1212121212,0.3,-66.44599999999627,-66.44599999999627,-66.44589999999152,33.22298000000592,-0.00046343901657688484,-0.00046825677023417213,-0.00046825550651673464,-0.00046919553544173993,0.643125,False,False,False,False,True,True,True,True,False,True,False,True,True,False,False,0.1
4,data/datasets_D_scramble/0_2,30,8,3,8000,1000,PERFECT_SAMPLING,CELINE,{'to': 0.2381609930645172| 'lambda': 20.52883530369641| 'nu': 0.06158650591108923| 'no_of_leaves': 30| 'no_of_hybrids': 3| 'ratio': 0.1| 'min_reticulation_prob': 0.1| 'max_reticulation_prob': 0.9},1.0,-mHKY -t3.0 -f0.3|0.2|0.2|0.3,0,0,0.0,data/datasets_D_scramble/0_0_true_network.nw,0.5,123.432,data/datasets_D_scramble/0_2_BEST_LINKED_FROM_RAXML_inferred_network.nw,BEST,LINKED,FROM_RAXML,0,0,0,2061.706,True,5.0,144702.5355,-71471.69176,143227.3835,143227.5528,144891.3965,-71516.56867000001,143333.1373,143333.3262,149759.2407,-74074.37473,148408.7495,148408.8914,-1,-1,-1,-1,5151,0.09302325581,0.1818181818,1.0,0.28,0.23529411760000002,1.0,0.2972972973,0.2,0.3636363636,-188.86100000000442,-105.75380000000587,-105.7734000000055,44.87691000000632,-0.001305167178635957,-0.0007383629960677588,-0.0007384989684750482,-0.0006278976878104658,0.643875,False,False,False,False,True,True,True,True,False,False,True,False,False,False,True,0.2
6,data/datasets_D_scramble/0_3,30,8,3,8000,1000,PERFECT_SAMPLING,CELINE,{'to': 0.2381609930645172| 'lambda': 20.52883530369641| 'nu': 0.06158650591108923| 'no_of_leaves': 30| 'no_of_hybrids': 3| 'ratio': 0.1| 'min_reticulation_prob': 0.1| 'max_reticulation_prob': 0.9},1.0,-mHKY -t3.0 -f0.3|0.2|0.2|0.3,0,0,0.0,data/datasets_D_scramble/0_0_true_network.nw,0.5,122.633,data/datasets_D_scramble/0_3_BEST_LINKED_FROM_RAXML_inferred_network.nw,BEST,LINKED,FROM_RAXML,0,0,0,216.31599999999997,True,3.0,146333.4232,-72287.1356,144858.2712,144858.4405,146315.024,-72277.936,144839.872,144840.0413,149765.7861,-74077.64745,148415.2949,148415.4369,-1,-1,-1,-1,5172,0.1666666667,0.1818181818,1.0,0.36,0.2571428571,1.0,0.2777777778,0.1492537313,0.3414634146,18.399199999985285,18.399199999985285,18.399199999985285,-9.199599999992643,0.0001257347747195002,0.0001270151842043058,0.00012701503575820482,0.00012726469134008187,0.6465,True,True,True,True,False,False,False,False,False,True,False,False,True,False,False,0.3
8,data/datasets_D_scramble/0_4,30,8,3,8000,1000,PERFECT_SAMPLING,CELINE,{'to': 0.2381609930645172| 'lambda': 20.52883530369641| 'nu': 0.06158650591108923| 'no_of_leaves': 30| 'no_of_hybrids': 3| 'ratio': 0.1| 'min_reticulation_prob': 0.1| 'max_reticulation_prob': 0.9},1.0,-mHKY -t3.0 -f0.3|0.2|0.2|0.3,0,0,0.0,data/datasets_D_scramble/0_0_true_network.nw,0.5,126.70100000000001,data/datasets_D_scramble/0_4_BEST_LINKED_FROM_RAXML_inferred_network.nw,BEST,LINKED,FROM_RAXML,0,0,0,164.84599999999998,True,3.0,147593.6079,-72917.22795,146118.4559,146118.6252,147252.6821,-72746.76509,145777.5302,145777.6995,149788.3137,-74088.91123,148437.8225,148437.9645,-1,-1,-1,-1,5213,0.21428571429999999,0.2647058824,1.0,0.2978723404,0.2857142857,1.0,0.3243243243,0.1764705882,0.3414634146,340.92579999999725,340.9256999999925,340.9257000000216,-170.46285999999964,0.0023098954273886086,0.002333214499839185,0.002333211796465914,0.0023377583705854474,0.651625,True,True,True,True,False,False,False,False,False,True,False,False,True,False,False,0.4
10,data/datasets_D_scramble/0_5,30,8,3,8000,1000,PERFECT_SAMPLING,CELINE,{'to': 0.2381609930645172| 'lambda': 20.52883530369641| 'nu': 0.06158650591108923| 'no_of_leaves': 30| 'no_of_hybrids': 3| 'ratio': 0.1| 'min_reticulation_prob': 0.1| 'max_reticulation_prob': 0.9},1.0,-mHKY -t3.0 -f0.3|0.2|0.2|0.3,0,0,0.0,data/datasets_D_scramble/0_0_true_network.nw,0.5,124.198,data/datasets_D_scramble/0_5_BEST_LINKED_FROM_RAXML_inferred_network.nw,BEST,LINKED,FROM_RAXML,0,0,0,155.864,True,3.0,148426.9356,-73333.89181,146951.7836,146951.9529,148065.966,-73153.40701,146590.814,146590.9833,149741.3303,-74065.41952000001,148390.839,148390.981,-1,-1,-1,-1,5234,0.23255813949999998,0.2857142857,1.0,0.4615384615,0.42105263159999995,1.0,0.4358974359,0.2535211268,0.4888888889,360.96960000001127,360.96959999998217,360.96960000001127,-180.48480000000563,0.0024319682848724885,0.0024563812099248463,0.0024563783799841647,0.0024611376206191506,0.65425,True,True,True,True,False,False,False,False,False,True,False,False,True,False,False,0.5
12,data/datasets_D_scramble/0_6,30,8,3,8000,1000,PERFECT_SAMPLING,CELINE,{'to': 0.2381609930645172| 'lambda': 20.52883530369641| 'nu': 0.06158650591108923| 'no_of_leaves': 30| 'no_of_hybrids': 3| 'ratio': 0.1| 'min_reticulation_prob': 0.1| 'max_reticulation_prob': 0.9},1.0,-mHKY -t3.0 -f0.3|0.2|0.2|0.3,0,0,0.0,data/datasets_D_scramble/0_0_true_network.nw,0.5,125.126,data/datasets_D_scramble/0_6_BEST_LINKED_FROM_RAXML_inferred_network.nw,BEST,LINKED,FROM_RAXML,0,0,0,113.834,True,2.0,149433.0564,-73836.95222,147957.9044,147958.0738,149183.6121,-73737.00686000001,147750.0137,147750.1737,149773.3151,-74081.41191,148422.8238,148422.9658,-1,-1,-1,-1,5254,0.21428571429999999,0.23529411760000002,1.0,0.387755102,0.42105263159999995,1.0,0.42105263159999995,0.26760563379999996,0.4651162791,249.44430000000284,207.890699999989,207.90009999999893,-99.94535999999789,0.0016692712175564043,0.0014050665345865024,0.0014051284574103378,0.0013535954152360853,0.65675,True,True,True,True,False,False,False,False,True,False,False,False,True,False,False,0.6
14,data/datasets_D_scramble/0_7,30,8,3,8000,1000,PERFECT_SAMPLING,CELINE,{'to': 0.2381609930645172| 'lambda': 20.52883530369641| 'nu': 0.06158650591108923| 'no_of_leaves': 30| 'no_of_hybrids': 3| 'ratio': 0.1| 'min_reticulation_prob': 0.1| 'max_reticulation_prob': 0.9},1.0,-mHKY -t3.0 -f0.3|0.2|0.2|0.3,0,0,0.0,data/datasets_D_scramble/0_0_true_network.nw,0.5,133.205,data/datasets_D_scramble/0_7_BEST_LINKED_FROM_RAXML_inferred_network.nw,BEST,LINKED,FROM_RAXML,0,0,0,47.676,True,1.0,151290.7628,-74765.80542,149815.6108,149815.7802,149589.714,-73964.83459,148197.6692,148197.82,149779.5218,-74084.5153,148429.0306,148429.1726,-1,-1,-1,-1,5239,0.3571428571,0.44736842109999997,1.0,0.48979591840000003,0.6046511628,1.0,0.6363636364,0.41558441560000003,0.72,1701.0487999999896,1617.941599999991,1617.9602000000014,-800.9708300000057,0.011243573424563297,0.010799552806015,0.010799664747198649,0.010713063619130683,0.654875,True,True,True,True,False,False,False,False,True,False,False,False,True,False,False,0.7
16,data/datasets_D_scramble/0_8,30,8,3,8000,1000,PERFECT_SAMPLING,CELINE,{'to': 0.2381609930645172| 'lambda': 20.52883530369641| 'nu': 0.06158650591108923| 'no_of_leaves': 30| 'no_of_hybrids': 3| 'ratio': 0.1| 'min_reticulation_prob': 0.1| 'max_reticulation_prob': 0.9},1.0,-mHKY -t3.0 -f0.3|0.2|0.2|0.3,0,0,0.0,data/datasets_D_scramble/0_0_true_network.nw,0.5,123.54700000000001,data/datasets_D_scramble/0_8_BEST_LINKED_FROM_RAXML_inferred_network.nw,BEST,LINKED,FROM_RAXML,0,0,0,5.763,True,0.0,152278.9023,-75259.87515,150803.7503,150803.9196,149778.596,-74084.05236,148428.1047,148428.2467,149778.596,-74084.05236,148428.1047,148428.2467,-1,-1,-1,-1,5256,0.380952381,0.4324324324,1.0,0.4791666667,0.5609756097999999,1.0,0.6279069767000001,0.4078947368,0.7083333333,2500.3062999999966,2375.645600000018,2375.672900000005,-1175.8227900000056,0.016419256129612887,0.015753226264426778,0.015753389608846778,0.015623501735240462,0.657,True,True,True,True,False,False,False,False,True,False,False,False,True,False,False,0.8
18,data/datasets_D_scramble/0_9,30,8,3,8000,1000,PERFECT_SAMPLING,CELINE,{'to': 0.2381609930645172| 'lambda': 20.52883530369641| 'nu': 0.06158650591108923| 'no_of_leaves': 30| 'no_of_hybrids': 3| 'ratio': 0.1| 'min_reticulation_prob': 0.1| 'max_reticulation_prob': 0.9},1.0,-mHKY -t3.0 -f0.3|0.2|0.2|0.3,0,0,0.0,data/datasets_D_scramble/0_0_true_network.nw,0.5,127.98100000000001,data/datasets_D_scramble/0_9_BEST_LINKED_FROM_RAXML_inferred_network.nw,BEST,LINKED,FROM_RAXML,0,0,0,5.215,True,0.0,152385.4309,-75313.13945,150910.2789,150910.4482,149761.4109,-74075.45985,148410.9197,148411.0617,149761.411,-74075.45987,148410.9197,148411.0617,-1,-1,-1,-1,5284,0.380952381,0.4324324324,1.0,0.4791666667,0.4871794872,1.0,0.5952380952,0.3424657534,0.6808510637999999,2624.0200000000186,2499.3592000000062,2499.3865000000224,-1237.6796000000031,0.017219625160373637,0.016561888416203877,0.016562050738114648,0.01643378046697538,0.6605,True,True,True,True,False,False,False,False,True,False,False,False,True,False,False,0.9
20,data/datasets_D_scramble/0_10,30,8,3,8000,1000,PERFECT_SAMPLING,CELINE,{'to': 0.2381609930645172| 'lambda': 20.52883530369641| 'nu': 0.06158650591108923| 'no_of_leaves': 30| 'no_of_hybrids': 3| 'ratio': 0.1| 'min_reticulation_prob': 0.1| 'max_reticulation_prob': 0.9},1.0,-mHKY -t3.0 -f0.3|0.2|0.2|0.3,0,0,0.0,data/datasets_D_scramble/0_0_true_network.nw,0.5,125.542,data/datasets_D_scramble/0_10_BEST_LINKED_FROM_RAXML_inferred_network.nw,BEST,LINKED,FROM_RAXML,0,0,0,21.078000000000007,True,1.0,150423.614,-74332.23101,148948.462,148948.6313,149764.4195,-74052.18734,148372.3747,148372.5255,149794.9147,-74092.21173,148444.4235,148444.5655,-1,-1,-1,-1,5271,0.3720930233,0.4871794872,1.0,0.40425531909999995,0.5609756097999999,1.0,0.5952380952,0.3947368421,0.6938775509999999,659.1945000000123,576.0873000000138,576.1058000000194,-280.0436699999991,0.00438225410539606,0.003867695525449694,0.003867815333191446,0.003767459501684061,0.658875,True,True,True,True,False,False,False,False,True,False,False,False,True,False,False,1.0
